Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CE-BM1,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,12000,Conservation_scrapee
CE-MR4,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,2500,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,9000,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Construction à usage commercial,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Construction à usage touristique,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Villa,,*****,6000,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Villa (fermée et sécurisée),,*****,7000,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-MR4,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-MR5(QI),,,Terrain nu,Terrain nu équipé,,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-MR5(QI),,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,11000,,,,,,,,,CASA SIDI OTHMANE
CE-MR5(QI),,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,12000,,,,,,,,,CASA SIDI OTHMANE
