Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CN-AS1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,12000,Conservation_scrapee
CN-AS10,,,Immeubles construits,Villa (fermée et sécurisée),,*****,5500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,12000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,13000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,14000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,8000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 500 m²,3000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 500 m²,2500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS11,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 250 m²,11000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
