Rang,Code Zone,Zone,Arrondissement,Prix m² (DH),Score_Accessibilite,Score_Amenites,Score_Environnement,Score_Prestige,Score_Attractivite
127,CS-HH29,"Quadruple délimité par Axe Voirie HE11 (Sud), Axe Voirie HE13 (Ouest), Axe Voirie CP01 (Prolongement Bd Moulouya) (Nord) et Axe Voirie HE09 (Prolongement Bd Laymoune) (Est) : Rce Annaim (Economique, R+3), Blad Chama, Lot Haj Fateh (R+3), Marché Haj Fateh, Lot Habiba, Lot Khouzama, Lot Assafa (Economique R+3), Lot Yassine, Lot Zainab (Zineb - Economique R+2 et R+3), Lot Opération Lissasfa, Lot Zoubir (Zoubeir), Marché Zoubir, Lot Yousra, Lot Al Bouchra, Lot Arreda",Hay Hassani,11938.0,63.8,36.7,62.3,12.9,20.7
128,CS-AC6,"Hay Rmila, Lot Bine Lamdoune, Quartier Ain Chok, Hay Al Andalous 3",Ain Chock,10375.0,78.9,24.0,60.0,14.5,20.5
129,CC-AF8,"Derb Fouqara, Hay Lalla Yaqout, Place Sidi Maârouf, Derb Laqriaâ/Korea Ouest délimité par la Rue 5, Place Sraghna, Derb Chorfa Tolba, Derb Mesfioui,",Al Fida,11071.0,84.6,31.2,49.3,11.8,20.3
130,CS-AC8,"Quadruple délimité par Av. Ouled Haddou (Sud), Bd Panoramique (Ouest), Av. 2 Mars (Nord) et Bd Fès (Est) : Lot Haddaouia 1, Lot Samlalia, Rce Les Crêtes, Al Haddaouia 3",Ain Chock,12500.0,67.1,24.4,44.7,15.1,20.0
131,CS-HH13,"Zone délimitée par Bd Abdelhadi Boutaleb, Rue 45 Nejma, Bd Afghanistan, Rue Ibn Al Haytham, Bd Ibnou Sina et Bd Sidi Abderrahman : Hay El Horia, Hay El Hassani, Derb El Amal, City Hay El Hassani Nord délimité par Rue 45, Derb Al Widad, Hay Raja",Hay Hassani,11000.0,63.8,36.7,62.3,11.6,19.5
132,CS-HH14,"Quadruple délimité par Rue Mly Bouchaib Radad (Sud), Bd Abdelhadi Boutaleb (Ouest), Rue 45 Nejma (Nord) et Rue Sidi Al Khadir (Est) : Derb Jamila, City Hay El Hassani Sud délimité par Rue 45, Hay Chadia, DIP Casa Sud - DIP ACHH (Directions des Impôts)",Hay Hassani,11000.0,63.8,36.7,62.3,11.6,19.5
133,CS-AC23,"Quadruple délimité par Av. de Dakhla (Sud), Espace vert - Equipement projeté (Ouest), Av. 2 Mars (Nord) et Bd El Qods (Est) : Lot Fikri, Lot Hind, Lot Oulahiane, Acima, Rce Addamane Nord",Ain Chock,11625.0,67.1,24.4,44.7,14.5,19.4
134,CS-AC12,"Quadruple délimité par Bd de Mequa (Sud), Autoroute (Ouest), Bd Taddart (Nord) et Bd de Fès (Est) : Lot Tazi, Quartier Badr, Quartier Vermont, Lot Sanhaji, Hay Mly Driss, Lot Taddart, Lot Limouna, Lot Yasmine, Clinique California",Ain Chock,10462.0,67.1,24.4,44.7,14.5,19.4
135,CS-AC7,"Quadruple délimité par Av. Nador (Sud), Autoroute A3 (Ouest), Av. 2 Mars (Nord) et Bd Panoramique (Est) : Hay Al Andalous 4, 5 et 6",Ain Chock,11333.0,67.1,24.4,44.7,14.5,19.4
136,CS-AC22,"Lot Nakhla, Lot Ibn Rochd, Rce Addamane Sud, Lot Zakariya, Rce Al Amal, Lot Violettes, Derb Al Farrane",Ain Chock,11083.0,67.1,24.4,44.7,14.5,19.4
137,CS-AC28,"Lot El Fath, Lot Housna, Lot La Coline Sidi Maârouf, Lot Al Afaq Sidi Maârouf, Lot Mandarouna 2, Lot Salama, Lot Florida, Lot ERAC, Lot Zohor, Lot Drissia, Grande surface Atakadao",Ain Chock,12311.0,67.1,24.4,44.7,14.5,19.4
138,CC-MS6,"Derb Bouchentouf, Derb Lbaladiya, Hay Smara, Quartier Boujdour, Kissariyet Lhaffari, Quartier Laâyoune, Derb Espagne",Mers Sultan,11125.0,82.8,26.6,59.8,12.2,19.2
139,CS-HH32,"Lot Laymoune 1 et 2, Lot El Mahdi (Mehdi), Lot Al Bourtoukal, Rce Al Khouzama, Douar Oulad Abbou",Hay Hassani,10977.0,63.8,36.7,62.3,11.3,19.1
140,CS-HH15,"Quartier El Baraka, Hay Sidi Al Khadir, Cité Walili, Cité de Police, Bloc Sidi Al Khadir, ISTA Hay Hassani, Cimetière Sidi Al Khadir, Souk Dallas",Hay Hassani,10000.0,63.8,36.7,62.3,11.3,19.1
141,CS-HH17,"Lot Sikillia, Lot Yaksour, Rce Khalid, Lot Ilhar, Lot Nour (Annour), Rce Nakhil, Mosquée Khadija, Mosquée Attawba, Lot Hassani 1 et 2, Rue 64 (Limite entre CS63 et CS66)",Hay Hassani,10773.0,63.8,36.7,62.3,11.3,19.1
142,CS-HH33,"Zone délimitée par Rte Sidi Al Khadir, Bd Oued Sebou, Bd Oued Oum Rabia et Bd Oued Draâ",Hay Hassani,11114.0,63.8,36.7,62.3,11.3,19.1
143,CS-HH28,"Mohammed Al Fatih Schools (Groupe scolaire), Rce Prestige El Oulfa, Lot Kanza, Lycée Ibn Rochd, Rce Les Jardins Al Miaraj, La Limite entre CS74 et CS73 est constituée par Rue 2, Axe Voirie HE37 et Rte El Jadida",Hay Hassani,10357.0,63.8,36.7,62.3,11.3,19.1
144,CS-HH19,"Lot Mastona, BIM Stores",Hay Hassani,10045.0,63.8,36.7,62.3,11.0,18.8
145,CS-AC32,"Lot Al Moustakbal (Habitat économique), Voisinage de CasaNearshore, ISCAE",Ain Chock,10556.0,67.1,24.4,44.7,13.9,18.8
146,CC-MS4,"Quartier La Gironde Est délimité par la Voie de Chemin de Fer, Garage Allal, Derb El Kabir",Mers Sultan,10833.0,80.3,27.4,46.6,11.5,18.6
147,CS-AC5,"Derb Al Khir, Maison de Bienfaisance d'Ain Chock",Ain Chock,9250.0,67.1,24.4,44.7,13.6,18.5
148,CS-HH23,"Zone délimitée par Av. C (Ouest) , Bd Oued Oum Rabia (Nord-Est) et Zone d'Habitat Dense E4 (Sud) : Hay El Houbous, Lot Oum Rabii, Cité de l'Union, Carrefour Market",Hay Hassani,10250.0,63.8,36.7,62.3,10.7,18.5
149,CS-AC11,"Quartier Roseraie, Quartier Belle Vue",Ain Chock,9600.0,67.1,24.4,44.7,13.6,18.5
150,CS-HH12,"Zone délimitée par Pénétrante d'Azbane, Axe Voirie HN25, Axe Voirie HN03, Axe Voirie HN13, Axe Voirie HN30 et Rocade Sud-Ouest : Lot Islane (Nassim 2)",Hay Hassani,8700.0,63.8,36.7,62.3,10.4,18.2
151,CS-HH20,"Zone délimitée par Rue 64, Axe Voirie HE05, ZV de type D3s, Axe Voirie HE01 (Rte Errahma), Bd Oued Oum Rabia, Bd Oued Sebou Rte Sidi Al Khadir : Quartier El Wifak, Rce Riad El Oulfa, QI Wifak, Rue 64 (Limite entre CS63 et CS66), Cimetière Sidi Ahmed + Hay Es-Safaâ (George)",Hay Hassani,9750.0,63.8,36.7,62.3,10.4,18.2
152,CS-AC2,"Quartier PAM, Quartier Taibi",Ain Chock,8860.0,67.1,24.4,44.7,13.2,18.1
153,CS-HH11,"Triangle délimité par Pénétrante d'Azbane, Bd Al Qods et Voie Chemin de Fer : Quartier/Lot Nassim",Hay Hassani,8750.0,63.8,36.7,62.3,9.9,17.8
154,CN-SB14,Bd Allait Ibn Assaâd,Sidi Bernoussi,12317.0,31.8,15.6,62.9,18.8,17.7
155,CS-HH22,"Zone délimitée par Rocade Sud-Ouest (Sud), Axe Voire HE01-Rte Errahma (Ouest), Axe Voirie HE35- Rte Haj Fateh-Axe Voirie HE11 (Nord) et Axe voirie HE09 (Est) : Rce El Yasmine (Social R+4), Lot El Yasmine (ZV), Rce Al Hamd (Projet fermé sécurisé), Rce Al Farah Dar Essalam, Ecole Yasmine, Lycée Essalam, Ecole Toria Chawi",Hay Hassani,7944.0,63.8,36.7,62.3,9.4,17.3
156,CN-AS12,"Rce Al Assil (Economique), Hay Smara (R+4), Hay Saida",Ain Sebaâ,9375.0,49.7,15.9,72.1,15.8,16.7
157,CC-AF1,Marché de bois et sanitaire,Al Fida,11533.0,84.6,31.2,49.3,7.9,16.4
158,CN-AS11,"Rce Lhadika, Lot Hlioua (R+3), Rce Anouar (R+4), Rce Ali (R+4)",Ain Sebaâ,11500.0,49.7,15.9,72.1,15.4,16.3
159,CN-AS10,"Siège de la Préfecture des Arrondissements de Ain Sebaâ Hay Mohammadi et voisinage, Rce Doha 1, Rce Al Hamd",Ain Sebaâ,10500.0,49.7,15.9,72.1,14.5,15.4
160,CN-AS9,"Lot Al Fadl (Economique), Douar Moumnia, Rce Al Badr (Economique), Rce Al Amane (Economique), Rce Al Wifaq (Economique), Lot Beaucite (ZV)",Ain Sebaâ,9800.0,49.7,15.9,72.1,14.5,15.4
161,CN-AS7,"Rce Bayt El Fath, Lot Kamaliya (ZV), Rce Al Manar",Ain Sebaâ,9357.0,49.7,15.9,72.1,14.2,15.1
162,CN-AS5,"Douar Ouasti, Gare Ain Sebaâ, Rce Zouhour, Rce Daris, Rce Chabab, Cité Oudaya, Rce Al Mabrouk, Rce Al Yacout",Ain Sebaâ,9583.0,49.7,15.9,72.1,13.9,14.8
163,CN-AS1,"Dar Salama (Dyour Chaâbi), Hay Dar Lamane, Carrières Centrales",Ain Sebaâ,8200.0,66.9,12.9,71.8,12.9,14.8
164,CE-SB6,"Jamila 7, Salmia 1, Douar Sidi Ahmed Belhcen, OFPPT-ISTAE-IE de Sbata, OFPPT-ISTAE-IE, Lycée El Kindi",Sbata,10365.0,63.4,23.2,58.7,10.3,14.6
165,CN-AS4,"Quadruple délimité par la voie de Chemin de Fer (Sud), Rte de Rabat - Allée des Parcs (Ouest), Av. de Tizi Ousli (Nord) et Allée des Mimosas (Est), Club Cosumar",Ain Sebaâ,9083.0,49.7,15.9,72.1,13.4,14.3
166,CN-AS3,"Zone délimité par Bd Mohamed Mekki (Sud), la Côte (Ouest), Allée des Mélias - des Mimosas (Nord) et Av. Tizi Ousli - Allée des Sanges (Est) : Saloma (Hay Nzaha), Marché (Place Tizi Ousli), Rce Mekouar, Rce Fal El Hanaâ, Rce Pompiers, Hay Timsit, Cité OCP, Quartier Beau Lieu, Hay CIL, Rce la Source, Rce Mimosa, Hay Castor, Lot El Mahi, Hay Hafida, 2M et voisinage",Ain Sebaâ,8714.0,49.7,15.9,72.1,13.3,14.2
167,CN-AS6,"Rce Atlantic, Rce Chefchaouini, Espérance 1 et 2, Lot Karam, Lot Chefchaouni, Complexe commercial dite Texas Rte Zenata",Ain Sebaâ,9000.0,49.7,15.9,72.1,13.3,14.2
168,CN-SB8,"Zone délimitée par Lycée Othman Ibnou Affance - Bd El Qods (Sud), Bd Imam Malik (Ouest), Bd Allait Ibn Assaâd (Nord) et Autoroute A3 (Est) : Rce Baghdad, Rce Majorelle",Sidi Bernoussi,12150.0,31.8,15.6,62.9,14.8,13.8
169,CN-SB6,"Mansour 1, 2 et 3, Mansour Extention, Bloc Farid",Sidi Bernoussi,12400.0,33.9,26.4,67.6,10.4,12.6
170,CE-BM2,"Quartier Ifriquia, Dar Touzani, Hay Hakam",Ben M'Sick,11050.0,70.5,25.1,61.0,6.9,12.4
171,CE-SB5,"Hay Laâlou, Hay El Houda, Lycée Oued Ad Dahab, Ecole Driss Lahrizi, Lycée Khalid Ibn Al Walid",Sbata,10250.0,67.2,21.0,48.5,8.0,12.2
172,CN-HM8,"Derb El Amal, Derb Wafa, Derb Attakadoum Nord, Cité Zerktouni (Jonquier), Projet Hassan 2, Lycée Lfarabi, Hay Al Madrassa (en face Karyane Central)",Hay Mohammadi,9750.0,83.9,21.9,43.9,6.0,12.1
173,CC-AF6,"Hay EL Farah, Hay Omar Ibn El Khattab (Ex Derb Milan), Hay Tissir 1, Hay Ain Chifa, Hay Drissia, Hay Al Amal 1, 2 et 3, Derb Mimouna",Al Fida,12033.0,83.0,9.6,54.4,8.2,10.9
174,CE-SO3,"Derb Al Baladia, Sidi Othmane (Blocs), Derb Mokhtar Soussi, Hay Mabrouka, Hôpital Ben Msik, Café Al Haouzia, Lycée Al Mokhtar Soussi, ENSAM Casablanca, Tribunal de Commerce",Sidi Othman,10286.0,80.2,28.3,65.2,3.1,10.5
175,CE-SB4,"Quadruple délimité par Bd Med VI (Sud), Bd Dakhla (Ouest), Rue 80 (Nord) et Bd Oued Ed Dahab (Est) : Jamila 5, Mosquée Jamila 5",Sbata,10625.0,53.5,17.3,58.7,8.7,10.4
176,CN-SB13,"Lot Bernoussi 2, Lot Tarik Al Khair",Sidi Bernoussi,11612.0,31.8,15.6,62.9,11.2,10.3
177,CE-BM1,"Arrondissement Ben M'Sick délimité par Bd Med VI (Sud), Autoroute A3 (Ouest), Bd Al Joulane (Nord) et Bd Commandant Driss Al Harti (Est) : Hay Jawadi, Hay Ksar Labhar, Hay Jamila 1 et 2, Hay Messoudia, Derb Mly Bouchaib, Derb Koudia, Artisanat, Derb Laâdam, Derb Douam, Derb Salama, Derb Khlifa, Hassania 1, 2 et 3, Laârbi El Bannay, Quartier Belhassan El Ouazzani (Kalogera), Derb Friha, Hay Othmania, Cité Djemaâ (Blocs), Hay Mansour et Itissal 1, 2 et 3.",Ben M'Sick,8750.0,70.5,25.1,61.0,4.5,10.1
178,CN-SB12,"Hay Saâda, Hay Moubaraka",Sidi Bernoussi,11175.0,31.8,15.6,62.9,10.8,9.8
179,CE-SB3,"Hay Jamila 3, Derb Douam, Derb Lahjar, Jamila 4, Jamila 6, Derb Khalid, Ecole du 11 Janvier",Sbata,8750.0,53.5,17.3,58.7,7.9,9.6
180,CE-MR9,"Lot Lbaraka (Hay Al Baraka), Rce Lhouda (Al Houda - Economique)",Mly Rachid,9250.0,61.6,27.7,60.5,3.9,9.3
181,CN-HM4,"Rce Mouahidine, Antaria 2, Lycée Hommane Lfatouaki et voisinage",Hay Mohammadi,11250.0,61.7,14.1,51.2,7.4,9.1
182,CN-SB11,"Zone délimitée par Bd Abdelkrim El Khattabi - Bd Mokhtar Ben Ahmed El Guerraoui - Bd Mbarek Ben Boubker Hammadi (Sud), Rte de Rabat N1 - Bd Ibn Hazm (Ouest), Bd Othman Ibn Affane - Bd Abou Abbas Sebti - Rue 19 - Bd El Qods (Nord) et Bd El Qods (Est) : Lot El Qods",Sidi Bernoussi,10112.0,31.8,15.6,62.9,9.8,8.9
183,CN-SB9,"Zone délimitée par Bd Abou Abbas Sebti - Rue 19 (Sud), Bd Imam Chafii (Ouest), Bd Allait Ibn Assaâd (Nord) et Bd El Qods (Est) : Rce TAC, Rce CHECAS, Rce El Fajr, Rce RAM, Rce El Wiam, Rce Carnaud",Sidi Bernoussi,9817.0,31.8,15.6,62.9,9.3,8.4
184,CN-HM3,"Triangle délimité par Bd la Grande Ceinture, l'Autoroute et Bd Oqba Bnou Nafii : Antaria 1, Hay Moustakbal, Lot Nadia, Lot Taiba, Lot Tafraouat, Lot Essawab, Lot Marie Claire, Rce Aziza, Rce Ennasr, Rce Farah, Lot Al Faouarate",Hay Mohammadi,10312.0,61.7,14.1,51.2,6.6,8.4
185,CN-SB5,"Lot CFIM (Derb Maâguize), Lot Bloc A et B, Bloc Slaoui, Hay Al Wifak, Hay Takadoum, Sidi Bernoussi, Stade de Rachad Lbernoussi",Sidi Bernoussi,10857.0,31.8,15.6,62.9,9.2,8.3
186,CN-SB4,"Zone délimitée par Bd Allait Ibn Assaâd - Bd Imam Malik - Bd El qods (Sud), Rte de Rabat N1 (Ouest), Territoire de la Préfecture de Mohammedia (Nord), Autoroute A3 (Est) à l'exception de Rce El Fadila (R+4) : Lot El Hamidia, Rce Lmçalla, Rce Mostapha El Maâni, Lot El Bahia, Lot El Menzah, Rce Attadamone, Rce El Wifak, Rce Travaux Publics, Groupe Zénata, Lot Ennour, Rce El Mansouria, Rce El Fath, Rce El Boustane 1, Rce Bab El Baidaâ, Rce/Lot Annakhil, Rce/Lot El Khalil, Groupe El Baidaâ",Sidi Bernoussi,10778.0,31.8,15.6,62.9,9.2,8.3
187,CN-SB10,"Zone délimitée par Bd Othman Ibn Affane - Collège Tarfa Ibn El Aâbd (Sud), Rte de Rabat N1 (Ouest), Bd Allait Ibn Assaâd (Nord) et Bd Imam Chafii - Bd Abou Abbas Sebti (Est) : Hay El Qods Groupes A, B et C",Sidi Bernoussi,9312.0,31.8,15.6,62.9,9.2,8.3
188,CN-HM5,"Bloc CIFM, Derb Koudia, Bloc Saâda, Derb Attakadoum Sud",Hay Mohammadi,12000.0,61.7,14.1,51.2,6.5,8.2
189,CN-HM6,Bloc ONCF,Hay Mohammadi,11000.0,61.7,14.1,51.2,6.5,8.2
190,CN-HM7,"Bloc Saida, Bloc Bennani, Derb Kastor",Hay Mohammadi,11000.0,61.7,14.1,51.2,6.5,8.2
191,CN-SB7,"Hay Tarik, Lot Amal 1, 2, 3 et 4, Hay Katafa",Sidi Bernoussi,10700.0,31.8,15.6,62.9,8.9,8.0
192,CN-HM2,"Cité ONCF (Cité des Cheminots), Hay Mountigui",Hay Mohammadi,9688.0,61.7,14.1,51.2,6.1,7.9
193,CN-HM9,"Derb Saâd, Hay Socica (Hay Al Morabitine), Derb My Cherif, Bloc Riad, Hay Bechar El Khair, Hay Massira",Hay Mohammadi,10200.0,61.7,14.1,51.2,5.8,7.6
194,CN-HM1,"La Villette : Rce Fatima Ezzahra, Khalil 1, 2 et 3, Lot Cosmos 1, 2, 3 et 4",Hay Mohammadi,9500.0,61.7,14.1,51.2,5.8,7.6
195,CN-SB3,"Zone délimitée par Bd El Binaâ (Sud), Voie de Chemin de Fer (Ouest), Territoire de la Préfecture de Mohammedia (Nord) et Rte de Rabat N1 (Est) : Rce El Boustane 2 (R+4), GH Riad El Bernoussi 2 (R+4, Front Bati R+5), Douar Boulahiya, Rce Feddan El Kheir (R+4), Protection Civile, Rce Attakadom (R+4), Lot Zine Salam (R+3) + Rce El Fadila (R+4) relevant géographiquement de la Zone CN-SB4",Sidi Bernoussi,8488.0,31.8,15.6,62.9,8.0,7.1
196,CE-MR1,"Cité Nouvelle (El Madina El Jadida), Lot El Manzah, Quartier Jaouhara, Douar Ouled Ghanem Lahraouiyine Casablanca",Mly Rachid,8571.0,74.0,12.3,81.6,3.9,6.5
197,CN-SB1,"Lot Farid, Lot Marhaba, Lot Latifa, Lot Dalila 1 et 2, Lot Karam, Lot Chefchaouni, Lot Oama, Lot Lhamd (Al Hamd), Rce Annakhil, Centre de Formation des Cadres ONEE",Sidi Bernoussi,7643.0,31.8,15.6,62.9,7.3,6.4
198,CN-SM7,"Hay Al Walaâ (Quartier Attacharouk), GH Walili, Lot Talibi, Lot Talbi, Lot Safa, Lot Tissir Tacharouk",Sidi Moumen,10000.0,35.2,5.8,54.8,9.3,6.2
199,CE-SO4,"Quadruple délimité par Bd du Nil (Sud), Autoroute A3 (Ouest), Av. Colonnel Driss El Allam (Nord) et Av. des Forces Auxilaires (Est) : Dyar Salam, Rce Nakhla, Caserne des Forces Auxiliaires",Sidi Othman,9667.0,74.0,12.3,81.6,3.3,5.9
200,CE-SO1,"Quadruple délimité par Bd Al Joulane (Sud), Rue Abdellah El Mediouni (Ouest), Av. Dix (10) Mars (Nord) et Axe Voirie SO10 (Est) : Hay Ennour, Marché de Gros de Fruits et Légumes, Cimetière Sidi Othman, Abattoir, Marché de Gros aux Poissons, Omni Sport Club Ben M'Sick Sidi Othman, Marché de la Ferraille Auto, Jardin Alesco, Jardin de la Préfecture de Ben M'Sik, Av. Mohamed Bouziane",Sidi Othman,9583.0,74.0,12.3,81.6,3.1,5.7
201,CS-HH31,GH Kasbat Amine,Hay Hassani,7400.0,35.7,3.4,36.9,9.1,5.4
202,CE-SB2,Salmia 2,Sbata,8250.0,51.6,4.0,44.9,7.3,5.3
203,CE-SO2,"Cité Nouvelle (El Madina El Jadida), Lot El Manzah, Quartier Jaouhara, Douar Ouled Ghanem Lahraouiyine Casablanca",Sidi Othman,9429.0,74.0,12.3,81.6,2.5,5.1
204,CN-SM6,"Lot Jaouhara (Jawhara), Rce Jaouhara (Jawhara)",Sidi Moumen,11388.0,35.2,5.8,54.8,8.2,5.1
205,CE-SO5,"Quadruple délimité par Av. Dix Mars - 10 Mars 1982 (Sud), Av. Mohamed Bouziane (Ouest), Av. Colonnel Driss El Allam (Nord) et Av. Abdelkader Sahraoui (Est) : Hay Salama 3, Hay Lalla Meriem, Av. Commandant El Khattabi",Sidi Othman,8875.0,74.0,12.3,81.6,2.5,5.1
206,CN-SM10,"Hay Sidi Moumen Jdid, Hay Karia, Hay Kapissine, Chimicolor et voisinage",Sidi Moumen,10150.0,35.2,5.8,54.8,6.8,3.7
207,CE-SO6,"Hay Salama I, Groupe Scolaire Gauss, Ecole Abou Alae",Sidi Othman,7500.0,66.4,13.8,71.3,1.3,3.5
208,CN-SM8,"Lot Rahmani, Lot Baraka, Lot Madinat Nour, Lot Saâda, Rce Diar Al Hanaâ, Rce Nakhil, Rce Alaâ, Carrière Thomas",Sidi Moumen,9312.0,35.2,5.8,54.8,6.3,3.2
209,CN-SM9,"Hay Sidi Moumen Lakdim, Hay Rekbout, Hay Douma, Lot Lhouda, Lot Tiznit, Lot Lhouria, Lot Tiznit, Lot Nasr Yamna, Hay Mly Smail, Lot Abir",Sidi Moumen,9562.0,35.2,5.8,54.8,6.2,3.1
210,CN-SM5,"Lot Warda, Lot Al Kawtar, Lot Sarazan, Lot Sabah, Lot Dalia, Lot Karam, Lot Doha 2, Lot Al Hamd 2, Lot Al Amane 2, Lot Otour, Rce Al Yakine, Carrière Zaraba, Lycée Khadija Oum Lbanine",Sidi Moumen,10062.0,35.2,5.8,54.8,6.0,2.9
211,CN-SM1,"Hay Anassi, Ard Sefrioui, Hay Assalam 1 et 2, Rce Achourouk, Projet Salam Ahl Loghlam (Hay Assalam), Dyour Marrakech, ONEP et voisinage, Rce Al Amal, Rce Marwa, Rce Rebah, Lot Lbaydae, Rce Fath, Rce Hajar, Rce Chaimaâ, Rce Samip, Programme Al Baraka Rte National 107 vers Ain Harrouda, Lot Annaim, Lot Naim, Usine Maghreb Steel",Sidi Moumen,7850.0,35.2,5.8,54.8,5.0,1.9
212,CN-SM2,"Hay Al Azhar, Lot Panorama, Rce Al Fajr, Rce Al Amana, Rce Madinati, Rce Sakani 1 et 2, Rce Louard, Rce Al Badr, Rce Jnane Bernoussi, Lot Madinati",Sidi Moumen,8710.0,22.1,6.5,61.3,5.5,1.3
213,CN-SM4,"Lot El Hadika, Rce Riad Al Bernoussi, Hay Ennahda",Sidi Moumen,6071.0,35.2,5.8,54.8,3.0,0.0
