Rang,Code Zone,Zone,Arrondissement,Prix m² (DH),Score_Accessibilite,Score_Amenites,Score_Environnement,Score_Prestige,Score_Attractivite
35,CC-SB20,"Quadruple délimité par, Bd Zerktouni (Sud), Bd Mohammed Ben Abdellah (Ouest), Bd Mly Youssef (Nord) et Bd Ziraoui (Est) : Bourgogne Nord, Hay Tassahoul Nord, Lycée Lyautey",Sidi Belyout,17600.0,69.2,19.1,63.9,59.2,62.3
36,CC-MA9,"Quartier Racine Est délimité par Rue Quadi Iyass, Bd Zerktouni, Bd Anfa et Rue Normandie",Maârif,17923.0,75.9,82.7,58.4,40.9,61.6
37,CC-AN1,Bd Ain Taoujtate,Anfa,21250.0,70.6,62.1,68.3,46.7,61.4
38,CC-MA21,"Maârif Extension Est délimité par Bd Bir Anzarane, Rue Kaid Al Achtar, Rue Socrate et Bd Yacoub El Mansour",Maârif,16500.0,75.9,82.7,58.4,40.6,61.4
39,CC-MA24,"Quartier la Famille Française, Cité Plateau, Cité Mehdia, Rce Andaloussia",Maârif,18000.0,75.9,82.7,58.4,40.6,61.4
40,CC-MA13,"Rce Al Mawlid, Bab Californie (Porte Californie)",Maârif,17000.0,72.5,72.0,57.9,43.8,61.3
41,CC-MA15,"Batha, Rivièra Ouest délimité par Bd Ghandi",Maârif,16688.0,75.9,82.7,58.4,39.7,60.4
42,CC-MA20,Quartier Berger,Maârif,19250.0,80.4,54.4,52.0,46.7,60.4
43,CN-RN1,Av. Pasteur,Roches Noires,17500.0,80.0,12.0,43.1,57.7,60.1
44,CN-RN2,Bd Ambassadeur Ben Aicha,Roches Noires,15500.0,75.2,18.0,56.7,56.5,59.9
45,CC-SB1,Av. des FAR,Sidi Belyout,22800.0,69.2,19.1,63.9,56.7,59.8
46,CC-SB16,"Quadruple délimité par Bd Rachidi-Bd Mly Youssef (Sud), Bd Ziraoui (Ouest), Bd de Paris-Bd Bordeaux (Nord) et Av. Mly Hassan 1er (Est) : Lusitania Sud, Quartier Gautier Nord, Lycée Ibn Toumert",Sidi Belyout,17600.0,69.2,19.1,63.9,56.4,59.5
47,CC-MA22,"Lot Mimousa, Maârif Extension Ouest-Sud délimité par Bd Bir Anzarane, Bd Ibn Sina, Bd Ghandi, Bd Yacoub El Mansour, Rue Socrate et Rue Kaid Al Achtar, Arset Lakbir et voisinage, Les Princesses, Rce les Perles",Maârif,14583.0,75.9,82.7,58.4,38.6,59.4
48,CC-MA17,"France Ville Est délimité par Bd Ghandi, Oasis Nord délimité par Bd Abderrahim Bouabid",Maârif,17000.0,75.9,82.7,58.4,38.0,58.8
49,CC-SB2,Av. Hassan II,Sidi Belyout,25600.0,85.2,77.1,74.3,37.3,57.6
50,CC-AN2,Bd de la Corniche (de Bd Zerktouni à Av. Tantan),Anfa,14167.0,64.5,1.2,76.9,59.1,57.0
51,CC-SB23,Bd Mohamed Ben Abdellah/Sidi Mohamed Ben Abdellah (de Bd Zerktouni à Bd Mly Youssef),Sidi Belyout,18125.0,69.2,19.1,63.9,53.7,56.9
52,CC-MA7,Rte El Jadida de Bd Ghandi à l'Autoroute A3 (Casa-Rabat),Maârif,14833.0,75.9,82.7,58.4,35.4,56.2
53,CC-MA1,Av. 2 Mars (de Bd Zerktouni à Bd Anoual),Maârif,21000.0,81.0,45.5,49.9,44.1,55.5
54,CC-MA2,Bd Abdelmoumen,Maârif,21800.0,86.2,53.3,64.5,41.2,55.3
55,CC-SB8,Bd Rachidi,Sidi Belyout,20800.0,82.7,82.1,78.6,31.7,53.1
56,CC-SB12,"Quartier Parc Ligue Arabe, La Moricière, Rue Ferhat Hachad jusqu'à intersection Bd Lalla Yaqout et Rue Mustapha El Maâni, Place Mohammed V",Sidi Belyout,18000.0,69.2,19.1,63.9,49.8,53.1
