Code Zone,lat,lng,distance_vol_oiseau_km,temps_voiture_estime_min,nb_arrets_bus_500m,nb_arrets_tramway_500m,nb_taxis_500m,nb_ecoles_1km,nb_hopitaux_2km,nb_cliniques_2km,nb_pharmacies_500m,nb_supermarches_500m,nb_epiceries_500m,nb_mosquees_500m,nb_banques_1km,nb_restaurants_500m
CC-MA23,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA24,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA25,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA26,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA27,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA28,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA29,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA30,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
CC-MA31,33.5954933,-7.6464075,2.464,7.7,4,0,0,16,5,12,1,1,1,1,30,6
CC-MA32,33.590767,-7.6358778,1.488,4.6,11,0,0,20,8,18,5,8,5,0,74,43
CC-MS1,33.5729225,-7.6144443,2.269,7.1,9,2,0,13,13,14,3,1,1,2,18,2
CC-MS2,33.5795067,-7.6143649,1.568,4.9,6,0,0,16,10,14,4,1,0,0,47,1
CC-MS3,33.5800962,-7.6119554,1.597,5.0,7,0,0,16,10,12,2,0,0,0,39,1
CC-MS4,33.5697456,-7.6087962,2.766,8.6,14,4,0,9,13,13,9,1,0,3,31,7
CC-MS5,33.5697456,-7.6087962,2.766,8.6,14,4,0,9,13,13,9,1,0,3,31,7
CC-MS6,33.5686383,-7.6040064,3.068,9.6,15,4,0,10,11,13,8,0,0,3,37,5
CC-MS8,33.5757681,-7.5999288,2.654,8.3,4,4,1,10,6,8,6,0,0,3,24,1
CC-MS9,33.5774555,-7.6063917,2.121,6.6,2,0,0,15,10,9,6,0,0,2,29,1
CC-MS10,33.5697456,-7.6087962,2.766,8.6,14,4,0,9,13,13,9,1,0,3,31,7
CC-MS12,33.5697456,-7.6087962,2.766,8.6,14,4,0,9,13,13,9,1,0,3,31,7
CC-AF1,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CC-AF2,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CC-AF3,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CC-AF4,33.5623115,-7.6072607,3.59,11.2,22,2,0,16,11,14,3,0,1,2,25,2
CC-AF5,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CC-AF6,33.5716601,-7.5863452,3.905,12.2,15,4,0,7,2,2,3,0,0,2,10,1
