quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude,dist_tram_m,tram_500m,intersect_500m,tt_centre_min,tt_cfc_min,tt_maarif_min,tt_sidi_maarouf_min,tt_port_min,n_ecoles_500m,n_ecoles_1km,dist_ecole_m,n_banques_500m,n_banques_1km,dist_banque_m,n_malls_500m,n_malls_1km,dist_mall_m,dist_mer_m,dist_parc_m,n_parcs_1km,surface_verte_m2_1km,nuisance_route_500m,n_industries_500m,n_fuel_500m,haut standing,log_prix_m2,log_surface_m2
Ain Diab Extension,Villa,26341.0,Bon état,205,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,1,10.17888193964875,5.323009979138408
Oasis,Villa,19646.0,Bon état,649,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,9.885629034234816,6.47543271670409
Les Princesses,Duplex,13587.0,Bon état,184,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,9.516868732224324,5.214935757608986
Ain Sebaa,Appartement,11405.0,Bon état,93,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.341807134718488,4.532599493153256
Ain Diab Extension,Appartement,13725.0,Bon état,204,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.526974266377731,5.318119993844216
Beausejour,Appartement,11538.0,Neuf,169,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,1,9.353401214816834,5.129898714923073
Roches Noires,Appartement,11026.0,Bon état,78,33.6001,-7.5711,965.0674461353242,0,82,14.4,34.0,19.2,29.6,8.8,0,0,1817.718081919226,1,2,433.5282232699337,0,0,2554.876575642303,938.1474814334251,151.5137400760343,6,59610.7,2072.5,0,0,0,9.30801139914963,4.356708826689592
Ain Sebaa,Appartement,12500.0,Bon état,88,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,1,9.433483923290392,4.477336814478207
Ain Diab,Appartement,28866.0,Bon état,194,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,1,10.27041971092751,5.267858159063328
Les Princesses,Studio,21818.0,Bon état,55,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,1,9.990490596157702,4.007333185232471
Sidi Moumen,Appartement,7755.0,Neuf,98,33.5895,-7.5178,1159.226632445389,0,135,29.3,45.7,33.5,40.2,24.6,0,2,841.9992581093699,4,6,167.352537206619,0,0,1973.08983975726,3824.806072287085,1270.958757491938,0,0.0,0.0,0,0,0,8.956093075610639,4.584967478670572
Maarif Extension,Appartement,17127.0,Bon état,181,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.748411444632369,5.198497031265826
Racine,Villa,14685.0,Bon état,286,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,1,9.59458184363272,5.655991810819852
Oasis,Appartement,21818.0,Neuf,55,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,9.990490596157702,4.007333185232471
Palmier,Appartement,21429.0,Neuf,56,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,9.972500423823082,4.02535169073515
Palmier,Appartement,21636.0,Bon état,55,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,9.982113872991318,4.007333185232471
Gauthier,Appartement,28358.0,Neuf,67,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,10.2526644562975,4.204692619390966
Gauthier,Studio,27119.0,Neuf,59,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,10.20798986821816,4.07753744390572
Ferme Bretonne,Appartement,18224.0,Bon état,107,33.549,-7.5944,682.2498354811139,0,452,15.8,20.6,15.7,14.5,20.1,1,10,402.6473591362682,9,24,309.9591411431054,0,1,896.6660164826084,5921.222724674229,289.6665405317857,13,92221.9,0.0,0,0,0,9.810494685686963,4.672828834461906
Oulfa,Appartement,10526.0,Bon état,76,33.5368,-7.6572,833.5040378000114,0,60,21.3,2.8,16.8,4.1,29.2,2,8,271.617575595435,0,3,635.7885927742001,0,0,1308.132165664691,6292.724234225559,1553.081495273229,0,0.0,3487.4,0,0,0,9.261603665913725,4.330733340286331
Oulfa,Appartement,9722.0,Recent,144,33.5368,-7.6572,833.5040378000114,0,60,21.3,2.8,16.8,4.1,29.2,2,8,271.617575595435,0,3,635.7885927742001,0,0,1308.132165664691,6292.724234225559,1553.081495273229,0,0.0,3487.4,0,0,0,9.1821466376054,4.969813299576001
Ain Diab Extension,Villa,19424.0,Bon état,278,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.874264693859224,5.627621113690637
Ain Sebaa,Appartement,11441.0,Bon état,88,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.344958673700944,4.477336814478207
Ain Diab Extension,Appartement,14286.0,Bon état,217,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.567035315714918,5.37989735354046
Beausejour,Duplex,12364.0,Neuf,129,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,0,9.422544303252007,4.859812404361672
Bourgogne Ouest,Appartement,17391.0,Bon état,115,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,9.763708110007842,4.74493212836325
Ain Sebaa,Appartement,14750.0,Bon état,80,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.598998361767967,4.382026634673881
Riviera,Appartement,18901.0,Bon état,81,33.5937,-7.6716,1101.425349293884,0,265,15.2,18.2,12.0,20.5,21.0,0,0,1363.949070450422,3,9,365.318765817671,0,1,853.6519537741274,444.1214635841355,1578.831205494542,0,0.0,1234.2,0,0,0,9.846970109700957,4.394449154672439
Sidi Moumen,Appartement,7647.0,Bon état,85,33.5895,-7.5178,1159.226632445389,0,135,29.3,45.7,33.5,40.2,24.6,0,2,841.9992581093699,4,6,167.352537206619,0,0,1973.08983975726,3824.806072287085,1270.958757491938,0,0.0,0.0,0,0,0,8.942068693044225,4.442651256490317
Bourgogne Est,Appartement,25349.0,Bon état,86,33.589,-7.6113,263.0200187547561,1,245,2.3,22.7,6.9,19.5,6.9,3,24,273.4785291420873,31,107,65.19973859491108,0,2,652.4577986954109,1438.87228183092,731.610881689414,3,56027.1,0.0,0,1,1,10.14049456050949,4.454347296253507
Palmier,Appartement,15625.0,Neuf,80,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,9.656627474604603,4.382026634673881
Anfa,Appartement,15714.0,Bon état,70,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.662307313735766,4.248495242049359
Maarif,Appartement,12222.0,Bon état,90,33.578,-7.63,516.1618040869354,0,370,5.0,16.3,1.3,13.9,13.1,4,20,24.99190181775799,14,62,398.5943794644788,0,0,1039.590736742931,2854.671279154411,262.0862290850807,9,85359.3,0.0,0,1,0,9.410992885454862,4.499809670330265
Belvedere,Appartement,12602.0,Bon état,123,33.5901,-7.5939,179.3843827470573,1,280,7.3,26.6,11.8,22.7,6.0,2,2,274.5540685228433,9,26,82.02163815120926,1,1,466.4574430381347,1457.133247994956,154.6185354394611,8,38645.0,1585.6,0,4,0,9.441610810502,4.812184355372417
Belvedere,Studio,15455.0,Bon état,55,33.5901,-7.5939,179.3843827470573,1,280,7.3,26.6,11.8,22.7,6.0,2,2,274.5540685228433,9,26,82.02163815120926,1,1,466.4574430381347,1457.133247994956,154.6185354394611,8,38645.0,1585.6,0,4,1,9.645687854566217,4.007333185232471
Les Princesses,Studio,25000.0,Bon état,54,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,10.12663110385034,3.988984046564275
Oasis,Studio,25000.0,Bon état,50,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,1,10.12663110385034,3.912023005428146
Bourgogne Ouest,Studio,23214.0,Bon état,56,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,10.05251082392857,4.02535169073515
Oasis,Appartement,25000.0,Bon état,54,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,10.12663110385034,3.988984046564275
Mers Sultan,Appartement,12381.0,Bon état,105,33.5921,-7.6024,165.7308739134413,1,262,5.0,25.3,9.7,21.8,5.1,1,7,453.5204000758147,18,51,105.7672581525134,0,0,1113.518424748274,1120.387185555903,162.627434636914,3,17996.5,5676.8,0,5,0,9.423918318420691,4.653960350157523
Les Princesses,Appartement,12800.0,Bon état,250,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,9.457200449907708,5.521460917862246
Sidi Maarouf,Appartement,10541.0,Bon état,74,33.5433,-7.6578,285.1916267776966,1,176,19.5,2.2,14.8,4.4,27.5,5,10,105.3468706265121,0,0,1047.606462501049,0,0,1491.775741859731,5703.85074577057,1390.852639316669,0,0.0,2654.4,0,0,0,9.26302769425519,4.30406509320417
Bourgogne Ouest,Studio,26750.0,Bon état,28,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,1,10.19428975232415,3.332204510175204
Bourgogne Ouest,Appartement,12000.0,Bon état,100,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,9.392661928770137,4.605170185988092
Ain Diab Extension,Maison,23913.0,Bon état,230,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,10.08217752309603,5.438079308923196
Ain Sebaa,Appartement,13284.0,Bon état,77,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.494315582496638,4.343805421853684
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.48402493478411,5.598421958998375
Bourgogne Ouest,Studio,23684.0,Bon état,57,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,1,10.07255499365167,4.04305126783455
Les Princesses,Studio,26250.0,Bon état,48,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,10.17542126801977,3.871201010907891
Oasis,Appartement,17188.0,Bon état,80,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,1,9.751966744894887,4.382026634673881
Anfa,Studio,21429.0,Bon état,42,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,1,9.972500423823082,3.737669618283368
Californie,Villa,52006.0,Bon état,673,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,10.85911437552266,6.511745329644728
Ain Sebaa,Appartement,11111.0,Bon état,144,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.315690887584008,4.969813299576001
Riviera,Studio,23224.0,Neuf,58,33.5937,-7.6716,1101.425349293884,0,265,15.2,18.2,12.0,20.5,21.0,0,0,1363.949070450422,3,9,365.318765817671,0,1,853.6519537741274,444.1214635841355,1578.831205494542,0,0.0,1234.2,0,0,0,10.05294150570447,4.060443010546419
Sidi Moumen,Appartement,7586.0,Bon état,87,33.5895,-7.5178,1159.226632445389,0,135,29.3,45.7,33.5,40.2,24.6,0,2,841.9992581093699,4,6,167.352537206619,0,0,1973.08983975726,3824.806072287085,1270.958757491938,0,0.0,0.0,0,0,0,8.934059722248843,4.465908118654584
Bourgogne Ouest,Appartement,14815.0,Bon état,189,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,9.603395460007665,5.241747015059643
Racine,Appartement,19136.0,Bon état,162,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.859326656750358,5.087596335232384
Racine,Appartement,17114.0,Bon état,149,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.747652120978,5.003946305945459
Les Hopitaux,Appartement,12687.0,Bon état,134,33.584,-7.598,86.16475996416162,1,198,6.4,24.4,10.2,20.3,7.9,1,12,471.8008773303524,3,22,36.4706250244772,0,1,524.1440908306643,2022.173450146973,712.6310545760888,6,21081.0,3466.3,0,4,0,9.448333126140598,4.897839799950911
Beausejour,Appartement,11890.0,Bon état,164,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,0,9.383452989684827,5.099866427824199
Maarif Extension,Appartement,14045.0,Bon état,89,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.550021739538344,4.48863636973214
Gauthier,Appartement,25128.0,Neuf,39,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,10.13173804121848,3.663561646129646
Maarif Extension,Appartement,11905.0,Bon état,126,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.384713758920963,4.836281906951478
Mers Sultan,Appartement,10902.0,A renover,133,33.5921,-7.6024,165.7308739134413,1,262,5.0,25.3,9.7,21.8,5.1,1,7,453.5204000758147,18,51,105.7672581525134,0,0,1113.518424748274,1120.387185555903,162.627434636914,3,17996.5,5676.8,0,5,0,9.296701537624227,4.890349128221754
Ain Sebaa,Appartement,8667.0,Bon état,75,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.067277989134345,4.31748811353631
Ain Diab Extension,Appartement,21164.0,Bon état,189,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.960056904024022,5.241747015059643
Mers Sultan,Appartement,11200.0,Bon état,122,33.5921,-7.6024,165.7308739134413,1,262,5.0,25.3,9.7,21.8,5.1,1,7,453.5204000758147,18,51,105.7672581525134,0,0,1113.518424748274,1120.387185555903,162.627434636914,3,17996.5,5676.8,0,5,0,9.323669057283185,4.804021044733257
Ferme Bretonne,Appartement,17219.0,Bon état,151,33.549,-7.5944,682.2498354811139,0,452,15.8,20.6,15.7,14.5,20.1,1,10,402.6473591362682,9,24,309.9591411431054,0,1,896.6660164826084,5921.222724674229,289.6665405317857,13,92221.9,0.0,0,0,1,9.753768704286186,5.017279836814924
Bernoussi,Appartement,8738.0,Bon état,103,33.6058,-7.5341,561.5019070033968,0,153,25.3,44.0,29.9,39.1,19.2,1,12,362.478629218759,7,10,130.1866313637076,0,0,2541.598322511336,1640.501502529757,440.967042981673,6,186265.9,2431.1,1,0,0,9.075436609511382,4.634728988229636
Ain Diab Extension,Appartement,14609.0,Bon état,115,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.589393056132515,4.74493212836325
Ain Diab Extension,Villa,21401.0,Bon état,257,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.97119292889014,5.54907608489522
Ain Sebaa,Appartement,9754.0,Bon état,88,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.185432736269998,4.477336814478207
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.48402493478411,5.598421958998375
Oasis,Studio,22800.0,Bon état,50,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,1,10.03451581494253,3.912023005428146
Les Princesses,Studio,25000.0,Bon état,45,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,1,10.12663110385034,3.80666248977032
Palmier,Studio,21429.0,Bon état,56,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,1,9.972500423823082,4.02535169073515
Les Princesses,Studio,28444.0,Bon état,45,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,1,10.25569252100341,3.80666248977032
Les Princesses,Studio,26429.0,Bon état,70,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,10.18221717108988,4.248495242049359
Hay Hassani,Appartement,12546.0,Bon état,104,33.5559,-7.6694,1061.437034671273,0,283,18.6,5.2,13.6,9.5,26.6,0,10,553.47482728959,0,15,606.5549394007352,0,1,993.799108621049,3891.858342292081,389.028154924507,1,174224.6,0.0,0,0,0,9.437157168656688,4.644390899141372
Riviera,Appartement,20208.0,Bon état,77,33.5937,-7.6716,1101.425349293884,0,265,15.2,18.2,12.0,20.5,21.0,0,0,1363.949070450422,3,9,365.318765817671,0,1,853.6519537741274,444.1214635841355,1578.831205494542,0,0.0,1234.2,0,0,0,9.913833844590272,4.343805421853684
Sidi Moumen,Appartement,7350.0,Bon état,100,33.5895,-7.5178,1159.226632445389,0,135,29.3,45.7,33.5,40.2,24.6,0,2,841.9992581093699,4,6,167.352537206619,0,0,1973.08983975726,3824.806072287085,1270.958757491938,0,0.0,0.0,0,0,0,8.902455592206882,4.605170185988092
Palmier,Appartement,25000.0,Neuf,50,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,10.12663110385034,3.912023005428146
Bourgogne Ouest,Appartement,19643.0,Neuf,56,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,9.885476319734277,4.02535169073515
Les Princesses,Appartement,28444.0,Bon état,45,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,10.25569252100341,3.80666248977032
Oasis,Appartement,23600.0,Neuf,50,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,10.0690019910137,3.912023005428146
Anfa Superieur,Villa,18550.0,A renover,1186,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,9.82822506803558,7.078341579557671
Polo,Villa,9703.0,A renover,1010,33.584,-7.652,1823.022404316051,0,353,9.6,15.3,5.5,15.7,16.8,5,25,173.0283446003575,3,25,413.8541762787918,0,0,1077.073075695572,2336.257542589962,820.5022778310127,2,31804.4,1968.5,0,4,1,9.1801903950253,6.917705609835305
Californie,Villa,13665.0,Bon état,1610,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,1,9.522593098362169,7.383989457978509
Les Princesses,Appartement,14052.0,Bon état,153,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,1,9.550520013385718,5.030437921392435
Anfa Superieur,Villa,22030.0,Bon état,808,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.00016043979639,6.694562058521095
