osm_id,lat,lon
8692465,33.697671,-7.4197484
8692465,33.6957764,-7.4226088
8692465,33.6948518,-7.4238664
8692465,33.6944769,-7.4245691
8692465,33.6939011,-7.4253121
8692465,33.6937991,-7.4257328
8692465,33.6936735,-7.4263206
8692465,33.6935212,-7.4265898
8692465,33.6933867,-7.4267431
8692465,33.6930465,-7.4268421
8692465,33.6928288,-7.4271253
8692465,33.6928116,-7.427204
8692465,33.6928451,-7.4276801
8692465,33.6928121,-7.427828
8692465,33.6921403,-7.4284664
8692465,33.6920689,-7.4285495
8692465,33.6920868,-7.4287829
8692465,33.69205,-7.4289103
8692465,33.6915909,-7.4293524
8692465,33.6913637,-7.4294467
8692465,33.6913007,-7.4294736
8692465,33.69128,-7.4295285
8692465,33.6913052,-7.4296603
8692465,33.6913202,-7.4299255
8692465,33.6912706,-7.430027
8692465,33.6908013,-7.4304593
8692465,33.6904654,-7.4308348
8692465,33.6901006,-7.4308817
8692465,33.690037,-7.4309421
8692465,33.6900515,-7.4310976
8692465,33.6901452,-7.4314101
8692465,33.6903929,-7.431736
8692465,33.690379,-7.4317756
8692465,33.6903449,-7.4317809
8692465,33.6900598,-7.4314477
8692465,33.6900453,-7.4314577
8692465,33.690037,-7.4314839
8692465,33.6903332,-7.4318279
8692465,33.6903226,-7.4318674
8692465,33.6902903,-7.4318721
8692465,33.6900671,-7.4316327
8692465,33.6898573,-7.4316066
8692465,33.6897256,-7.4316931
8692465,33.6893351,-7.4318191
8692465,33.6886327,-7.4328031
8692465,33.6874648,-7.4341446
8692465,33.6872551,-7.4345657
8692465,33.6871792,-7.4348205
8692465,33.6884067,-7.4360034
8692465,33.6884669,-7.436167
8692465,33.6884346,-7.4363159
8692465,33.6883308,-7.4364017
8692465,33.6881746,-7.4364084
8692465,33.6880831,-7.436336
8692465,33.688044,-7.4362099
8692465,33.6880244,-7.4360731
8692465,33.6877419,-7.4357803
8692465,33.6875675,-7.4358049
8692465,33.68736,-7.4359122
8692465,33.6871479,-7.4360463
8692465,33.6869694,-7.4362421
8692465,33.686581,-7.4368697
8692465,33.6863523,-7.4372131
8692465,33.6862731,-7.4372345
8692465,33.6862195,-7.4372171
8692465,33.6859662,-7.436969
8692465,33.6858378,-7.4369194
8692465,33.6857084,-7.4369596
8692465,33.6856772,-7.437095
8692465,33.6856671,-7.4371266
8692465,33.6856409,-7.43714
8692465,33.685262,-7.4366578
8692465,33.6850578,-7.436922
8692465,33.6851451,-7.43703
8692465,33.6849853,-7.4372225
8692465,33.684915,-7.4371527
8692465,33.6847197,-7.4375672
8692465,33.6841798,-7.438746
8692465,33.685108,-7.4392623
8692465,33.6855377,-7.4393669
8692465,33.6860119,-7.4393857
8692465,33.6864695,-7.4393293
8692465,33.6869236,-7.4391885
8692465,33.687322,-7.4389458
8692465,33.6876367,-7.4386682
8692465,33.6888999,-7.4374518
8692465,33.6894165,-7.4369502
8692465,33.6894176,-7.436796
8692465,33.6894779,-7.4366927
8692465,33.689585,-7.4366196
8692465,33.6896581,-7.4366257
8692465,33.6897468,-7.43669
8692465,33.6898149,-7.4368107
8692465,33.6898049,-7.4369985
8692465,33.6897419,-7.437104
8692465,33.6888001,-7.4380307
8692465,33.6881462,-7.4386878
8692465,33.6873661,-7.4393972
8692465,33.6869114,-7.4396217
8692465,33.6864791,-7.4397286
8692465,33.6858005,-7.4397741
8692465,33.6851042,-7.4396454
8692465,33.6846154,-7.4393933
8692465,33.6840664,-7.4390955
8692465,33.6835062,-7.4397071
8692465,33.6819744,-7.4423415
8692465,33.6813316,-7.4429986
8692465,33.680912,-7.4431381
8692465,33.6806732,-7.4433634
8692465,33.6805772,-7.4436852
8692465,33.6805103,-7.4438059
8692465,33.6804299,-7.4438328
8692465,33.6800371,-7.4438891
8692465,33.6797224,-7.4440849
8692465,33.6794166,-7.4444765
8692465,33.6789881,-7.4453026
8692465,33.6787648,-7.4457532
8692465,33.6781265,-7.446633
8692465,33.6775328,-7.4474859
8692465,33.6769189,-7.4481887
8692465,33.6766332,-7.4489719
8692465,33.6765069,-7.4491505
8692465,33.675631,-7.4497175
8692465,33.6747069,-7.4507153
8692564,33.5789289,-7.70653
8692564,33.5785868,-7.7075207
8692564,33.57836,-7.7078588
8692564,33.5765578,-7.7086687
8692564,33.575347,-7.7097542
8692564,33.5748281,-7.7108038
8692564,33.5716056,-7.7153474
8692564,33.5713642,-7.7159482
8692564,33.5711094,-7.7167583
8692564,33.5705999,-7.7176166
8692564,33.5702513,-7.7180779
8692564,33.5693886,-7.7194995
8692564,33.5686198,-7.7207226
8692564,33.5663894,-7.7247834
8692564,33.5650797,-7.7276802
8692564,33.563837,-7.730695
8692564,33.5635197,-7.732299
8692564,33.5629654,-7.7342355
8692564,33.5627955,-7.7352923
8692564,33.5626122,-7.7358878
8692564,33.5624156,-7.7363464
8692564,33.5621965,-7.7366012
8692564,33.5614858,-7.7378082
8692564,33.561079,-7.7388543
8692564,33.560556,-7.7400988
8692564,33.5599212,-7.7414185
8692564,33.559349,-7.7419335
8692564,33.558227,-7.7427381
8692564,33.5571586,-7.7442241
8692564,33.5561975,-7.7456778
8692564,33.5557435,-7.746445
8692601,33.6021231,-7.600227
8692601,33.6021901,-7.6020643
8692601,33.6025258,-7.6023077
8692601,33.6024605,-7.6024371
8692601,33.6021952,-7.6022574
8692601,33.6021968,-7.6023379
8692601,33.607813,-7.6058516
8692601,33.606877,-7.6079531
8692601,33.6023454,-7.6051059
8692601,33.6022951,-7.6051717
8692601,33.6023577,-7.6072986
8692601,33.6089243,-7.6114078
8692601,33.6087735,-7.6117538
8692601,33.6074239,-7.6131801
8692601,33.6028536,-7.6103027
8692601,33.6027196,-7.6104543
8692601,33.6027263,-7.6110832
8692601,33.6028157,-7.6111396
8692601,33.6028291,-7.6111704
