osm_id,osm_type,type_vert,name,lat,lon,surface_m2
35101249,way,forest,,33.46942034722222,-7.624359397222222,2741090.0
35157794,way,forest,Forêt de Bouskoura غابة بوسكورة,33.458351263716814,-7.601085107079646,20022778.7
85497352,way,park,Murdoch Park,33.57987633076923,-7.6129927461538465,42744.9
85497370,way,park,,33.576905545454544,-7.605994236363636,979.4
85497377,way,garden,,33.5777588125,-7.606444725,1899.7
108730139,way,park,,33.599711825,-7.61570815,2033.4
108730143,way,park,,33.6003227,-7.6171497,524.1
133107742,way,pitch,stade Anatole,33.59323804,-7.59647478,4010.6
133107745,way,park,Jardin palestine,33.5945535,-7.591997328571429,14674.5
136901917,way,golf_course,Golf Royal d'Anfa,33.587551265,-7.65690332,147982.7
167625382,way,park,,33.5770553,-7.6067643714285715,1327.1
167625439,way,playground,,33.579476899999996,-7.60197072,8803.2
167625452,way,park,,33.57712265714286,-7.606353814285715,944.8
167625461,way,playground,,33.575468275,-7.6042257,2561.0
177804409,way,pitch,,33.55645996,-7.64721568,357.4
177804410,way,pitch,,33.55416004,-7.65025626,6462.3
177804412,way,pitch,,33.556081299999995,-7.64752018,695.9
177804415,way,pitch,,33.55581344,-7.64794572,793.2
177804416,way,pitch,,33.55567566,-7.64853606,878.4
177804421,way,pitch,,33.56099136,-7.64912916,8502.8
177804423,way,pitch,,33.55822698,-7.64682602,6652.6
177804424,way,pitch,,33.55567906,-7.64821804,838.8
177804425,way,pitch,,33.55582468,-7.6476605,723.7
177804426,way,pitch,,33.558878299999996,-7.64763352,8274.5
177804427,way,pitch,,33.55653338,-7.6470551,269.2
177804430,way,pitch,,33.55524208,-7.64838634,885.3
177804431,way,pitch,,33.55693842,-7.65057194,7276.7
177804433,way,pitch,,33.55723018,-7.65174102,8731.6
177804434,way,pitch,,33.5599707,-7.646462544444445,10746.5
177804435,way,pitch,,33.556251180000004,-7.64731694,703.0
177804437,way,pitch,,33.552563111764705,-7.6500579,5838.5
177804440,way,pitch,,33.55615876,-7.64888218,855.7
177804441,way,pitch,,33.55531144,-7.64808852,786.0
177804701,way,pitch,,33.5609234,-7.64844326,7144.0
186193476,way,pitch,,33.58294242,-7.6467198000000005,6887.6
197179936,way,playground,,33.510205255,-7.607108885,7701.2
214253931,way,pitch,,33.57774766666667,-7.558333966666667,9057.3
214253959,way,park,Place Al Yassir,33.59321227826087,-7.597806204347826,3457.5
216017715,way,pitch,,33.55398588,-7.64926224,342.5
216026814,way,pitch,,33.542993085714286,-7.6178756,1390.8
230220017,way,pitch,,33.50923606,-7.65389508,6283.7
242748505,way,grass,,33.606081599999996,-7.63270058,278.0
242748507,way,grass,,33.60615232,-7.63251298,198.5
242748508,way,grass,,33.60623794,-7.63085518,1088.3
242748510,way,grass,,33.60597134,-7.63235628,321.2
242748511,way,grass,,33.60652924,-7.6310239,381.7
242748513,way,grass,,33.605758116666664,-7.6307230666666666,1646.5
242748514,way,grass,,33.605282816666666,-7.63184825,1522.0
242750598,way,grass,,33.60712952,-7.63384646,133.9
242750599,way,grass,,33.60669291304348,-7.633593184782609,2970.0
242750601,way,grass,,33.607234225,-7.6308502166666665,744.9
243241025,way,park,,33.535596677777775,-7.574325677777778,6080.2
243445394,way,pitch,Derb tazi,33.60520196,-7.6268442,384.2
243462658,way,pitch,,33.59880112,-7.63511694,3115.2
243463237,way,park,,33.599237623076924,-7.633452315384615,4473.7
243463292,way,park,Parc le Lac,33.602333433333335,-7.635801066666667,4621.2
243463773,way,park,,33.59960894444445,-7.6351142,1511.5
243836853,way,pitch,,33.59818812,-7.63567908,219.0
243836855,way,pitch,,33.59834216,-7.6361109,261.6
243836856,way,pitch,,33.59798324,-7.63597724,245.0
243836858,way,pitch,,33.59823956,-7.63609256,261.5
243836860,way,pitch,,33.59814854,-7.63483098,188.7
243836861,way,pitch,,33.59820004,-7.63643504,762.8
243836863,way,pitch,,33.59856552,-7.6340914799999995,344.0
243836865,way,pitch,,33.5980827,-7.63521076,188.6
243836866,way,pitch,,33.5979607,-7.63613786,244.8
243836867,way,pitch,,33.59806746,-7.63551946,199.9
243836868,way,pitch,,33.59893244,-7.6344685,724.4
243836869,way,pitch,,33.59841326,-7.6349806000000005,724.2
243836870,way,pitch,,33.59813726,-7.6360721,261.6
243836871,way,pitch,,33.59816294,-7.63670814,762.8
243836872,way,pitch,,33.59857648,-7.63439002,724.0
243836873,way,pitch,,33.59832632,-7.63404996,344.1
243836874,way,pitch,,33.59793732,-7.63640206,261.8
243836875,way,pitch,,33.59832828,-7.63557606,347.8
243836876,way,pitch,,33.59837394,-7.6352198,724.4
243836877,way,pitch,,33.59810474,-7.63508088,188.7
243836878,way,pitch,,33.598352760000004,-7.63541606,347.7
